date,type,code,name,price,qty,total,profit,return
2023-05-19,매수,352770,셀레스트라,8810,11350,99993500,,
2023-06-28,매도,352770,셀레스트라,6110,11350,69348500,-30645000.0,-30.65%
2023-07-28,매수,352770,셀레스트라,4720,14693,69350960,,
2023-09-15,매수,177350,베셀,3345,1,3345,,
2023-09-21,매도,352770,셀레스트라,2470,14693,36291710,-33059250.0,-47.67%
2023-11-28,매도,177350,베셀,1541,1,1541,-1804.0,-53.93%
2023-12-04,매수,177350,베셀,1353,26824,36292872,,
2023-12-19,매도,177350,베셀,1634,26824,43830416,7537544.0,20.77%
2023-12-26,매수,067290,JW신약,2545,17222,43829990,,
2024-01-03,매도,067290,JW신약,2485,17222,42796670,-1033320.0,-2.36%
2024-10-23,매수,088130,동아엘텍,8990,4760,42792400,,
2024-10-29,매도,088130,동아엘텍,9440,4760,44934400,2142000.0,5.01%
2024-11-05,매수,088130,동아엘텍,9300,4832,44937600,,
2024-11-06,매도,088130,동아엘텍,4460,4832,21550720,-23386880.0,-52.04%
2024-12-16,매수,067290,JW신약,1730,12458,21552340,,
2025-01-06,매도,067290,JW신약,1620,12458,20181960,-1370380.0,-6.36%
2025-06-10,매수,300080,플리토,28300,713,20177900,,
2025-06-25,매도,300080,플리토,11140,713,7942820,-12235080.0,-60.64%
2025-12-16,매수,067290,JW신약,1892,4200,7946400,,
2026-01-09,매도,067290,JW신약,1876,4200,7879200,-67200.0,-0.85%
2026-03-10,매수,458870,씨어스,143900,54,7770600,,
2026-03-25,매도,458870,씨어스,52300,54,2824200,-4946400.0,-63.66%
